time,state
3645,1
3648,1
3651,1
3654,1
3658,1
3661,1
3664,1
3667,1
3670,1
3674,1
3677,1
3680,1
3683,1
3687,1
3690,1
3693,1
3696,1
3699,1
3703,1
3706,1
3709,1
3712,1
3715,1
3718,1
3722,1
3725,1
3728,1
3731,1
3735,1
3738,1
3741,1
3744,1
3747,1
3750,1
3754,1
3757,1
3760,1
3763,1
3767,1
3770,1
3773,1
3776,1
3779,1
3782,1
3786,1
3789,1
3792,1
3795,1
3799,1
3802,1
3805,1
3808,1
3811,1
3814,1
3818,1
3821,1
3824,1
3827,1
3830,1
3834,1
3837,1
3840,1
3843,1
3846,1
3850,1
3853,1
3856,1
3859,1
3862,1
3866,1
3869,1
3872,1
3875,1
3878,1
3882,1
3885,1
3888,1
3891,1
3894,1
3898,1
3901,1
3904,1
3907,1
3910,1
3914,1
3917,1
3920,1
3923,1
3926,1
3930,1
3933,1
3936,1
3939,1
3942,1
3946,1
3949,1
3952,1
3955,1
3958,1
3962,1
3965,1
3968,1
3971,1
3974,1
3978,1
3981,1
3984,1
3987,1
3990,1
3994,1
3997,1
4000,1
4003,1
4006,1
4010,1
4013,1
4016,1
4019,1
4022,1
4026,1
4029,1
4032,1
4064,1
4067,1
4071,1
4074,1
4077,1
4080,1
4083,1
4087,1
4090,1
4093,1
4096,1
4099,1
4103,1
4106,1
4109,1
4112,1
4115,1
4119,1
4122,1
4125,1
4128,1
4131,1
4135,1
4138,1
4141,1
4144,1
4147,1
4151,1
4154,1
4157,1
4160,1
4163,1
4167,1
4170,1
4173,1
4176,0
4179,0
4183,0
4186,0
4189,0
4192,0
4195,0
4199,0
4202,0
4205,0
4208,0
4211,0
4215,0
4218,0
4221,0
4224,0
4227,0
4230,0
4234,0
4237,0
4240,0
4243,0
4246,0
4250,0
4253,0
4256,0
4259,0
4262,0
4266,0
4269,0
4272,0
4275,0
4278,0
4282,0
4285,0
4288,0
4291,0
4294,0
4298,0
4301,0
4304,0
4307,0
4310,0
4314,0
4317,0
4320,0
4323,0
4326,1
4330,1
4333,1
4336,1
4339,1
4342,1
4346,1
4349,1
4352,1
4355,1
4358,1
4362,1
4365,1
4368,1
4371,1
4374,1
4378,1
4381,1
